Deal Name,Owner Code,Client Code,Deal Status,Closure Probability,Masked Deal Value,Sector,Created Date,Tentative Close Date,Deal Stage,Product Deal
Naruto,OWNER_001,COMPANY089,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sasuke,OWNER_001,COMPANY091,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sasuke,OWNER_002,COMPANY124,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_002,COMPANY046,Open,Low,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_002,COMPANY148,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_002,COMPANY047,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_003,COMPANY197,Open,Low,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_001,COMPANY177,On hold,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_001,COMPANY094,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_001,COMPANY178,On hold,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY149,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY149,Open,Low,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_002,COMPANY171,Open,Low,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_003,COMPANY111,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_003,COMPANY111,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_003,COMPANY111,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY149,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY129,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY129,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY107,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY103,Open,Low,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY077,Open,Low,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY026,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_004,COMPANY193,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_003,COMPANY111,Open,Medium,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_001,COMPANY169,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_001,COMPANY183,Open,High,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
Sakura,OWNER_003,COMPANY009,Open,Low,1223400,Construction,2025-06-15,2026-03-31,Qualified,Pure Service
