Deal Name,Customer Code,Serial Number,Nature of Work,Execution Status,Start Date,End Date,Sector,Invoice Amount,Billing Status,Delayed Days,Delay Reason
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-075,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Appa,WOCOMPANY_038,SDPLDEAL-101,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-002,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-003,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Edward Elric,WOCOMPANY_008,SDPLDEAL-005,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Pumbaa,WOCOMPANY_047,SDPLDEAL-001,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-006,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-007,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-008,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-009,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-010,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-011,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-012,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-013,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-014,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-015,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-016,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-017,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-018,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-019,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-020,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-021,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-022,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-024,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-023,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-025,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
